cycle_len	chain_qids	chain_labels
7	Q138810 -> Q140234 -> Q139067 -> Q140681 -> Q140643 -> Q139043 -> Q138061 -> Q138810	Llywelyn Ddû ab Owain -> Llywelyn Foethus ap Llywelyn Ddû ab Owain -> Gruffudd Foethus ap Llywelyn -> Lleucu ferch Gruffudd -> Rhys ap Llowdden y Gath -> Ieuan ap Rhys -> Joan ferch Ieuan ap Rhys ap Llowdden -> Llywelyn Ddû ab Owain
5	Q124326 -> Q104371 -> Q107162 -> Q123407 -> Q124325 -> Q124326	Guerau V de Cabrera -> Arsende  de Cabrera -> Ermengol VII, Count of Urgell -> Marquesa d'Urgell -> Guerau IV de Cabrera -> Guerau V de Cabrera
4	Q144542 -> Q148522 -> Q146349 -> Q148521 -> Q144542	Morfudd ferch Tudur Fongam ap Cynwrig Fychan ap Cynwrig -> Dyddgu ferch Cadwgan Fottwm ab Ednyfed ap Cadwgan Ddû -> Cynwrig Fychan ap Cynwrig -> Tudur Fongam ap Cynwrig Fychan ap Cynwrig ap Llywarch -> Morfudd ferch Tudur Fongam ap Cynwrig Fychan ap Cynwrig
2	Q119481 -> Q124343 -> Q119481	Pons Hug d'Entença -> Jussiana d'Entença -> Pons Hug d'Entença
4	Q135895 -> Q113081 -> Q111318 -> Q111320 -> Q135895	Pepin of Herstal -> Charles Martel -> Pepin of Landen -> Begga -> Pepin of Herstal
46	Q100154 -> Q100519 -> Q101113 -> Q113625 -> Q79385 -> Q79409 -> Q79429 -> Q79459 -> Q79495 -> Q79510 -> Q79582 -> Q79663 -> Q79863 -> Q80223 -> Q80606 -> Q81339 -> Q82122 -> Q99597 -> Q99585 -> Q99573 -> Q99558 -> Q99544 -> Q79084 -> Q79093 -> Q79102 -> Q79114 -> Q79132 -> Q79144 -> Q79162 -> Q79186 -> Q79205 -> Q79229 -> Q79250 -> Q79277 -> Q79295 -> Q79313 -> Q79358 -> Q79370 -> Q79406 -> Q79400 -> Q79424 -> Q79450 -> Q79480 -> Q79537 -> Q79618 -> Q99939 -> Q100154	Godo  Arnaldes de Baiao -> Soeiro  Guedes -> D. Ausindo Soares -> D.Teodoredo Ausendes Soares -> Goncalo Ximeno  Ausendes -> Pero Goncalves -> Hermenegildo  Goncalves -> N.N. Goncalves -> Velasquita  Maldonado -> Maria  Soares -> Diogo  Rodrigues de Aguiar -> Rui  Dias de Aguiar -> Joao  Afonso de Aguiar -> Diogo Afonso Afonso  de Aguiar -> Pedro  Afonso de Aguiar -> Antonio Ambrosio de Aguiar  Coutinho -> Barbara, imperatriz of Rome -> Bárbara, Princess of Rome -> Aviena -> Proba -> Proba  Rogas of Lybia -> Heracles -> Georgia Eudoxia -> Munia Eudoxia -> Esteban  Balthes -> Epiphania -> Remigio  Of Cantabria -> Beron  Of Cantabria -> Sigelda -> Tota -> Gerberge  de Millau -> Etienne  de Narbonne -> Heribert  de Narbonne -> Agnes  de Narbonne -> Ersinde  de Narbonne -> Ordulph  de Chappes -> Florent  de Chappes -> Ersinde  de Chappes -> Arsene  Peche -> Constance  de Narbonne -> Gil  Guille em Narbonne -> Soeiro  Afonso Tangil -> Fernao  dos de Tangil -> Estevao  Soares (D.) -> Tereza  Eriz de Lugo -> Ufa  Ufes -> Godo  Arnaldes de Baiao
33	Q79385 -> Q79409 -> Q79429 -> Q79459 -> Q79495 -> Q79510 -> Q79582 -> Q79663 -> Q79863 -> Q80223 -> Q80606 -> Q81339 -> Q82122 -> Q99597 -> Q99585 -> Q99573 -> Q99558 -> Q99544 -> Q79084 -> Q79093 -> Q79102 -> Q79111 -> Q79126 -> Q79135 -> Q79147 -> Q79168 -> Q79192 -> Q79220 -> Q79241 -> Q79262 -> Q79286 -> Q79331 -> Q79361 -> Q79385	Goncalo Ximeno  Ausendes -> Pero Goncalves -> Hermenegildo  Goncalves -> N.N. Goncalves -> Velasquita  Maldonado -> Maria  Soares -> Diogo  Rodrigues de Aguiar -> Rui  Dias de Aguiar -> Joao  Afonso de Aguiar -> Diogo Afonso Afonso  de Aguiar -> Pedro  Afonso de Aguiar -> Antonio Ambrosio de Aguiar  Coutinho -> Barbara, imperatriz of Rome -> Bárbara, Princess of Rome -> Aviena -> Proba -> Proba  Rogas of Lybia -> Heracles -> Georgia Eudoxia -> Munia Eudoxia -> Esteban  Balthes -> Pedro Balthes  de Toledo -> Galindo  de Toledo -> Paulo  de Toledo -> Teodomiro  de Toledo -> Ouvequio  de Toledo -> Marcella  de Toledo -> Beatrix  de Bardolf -> Jeanne  de Pont-Audemer -> Bernard  of Mans - Beulac -> Eve  of Mans - Beulac -> Galburge  de Castellane -> D.Urraca de Pamplona -> Goncalo Ximeno  Ausendes
33	Q79510 -> Q79582 -> Q79663 -> Q79863 -> Q80223 -> Q80606 -> Q81339 -> Q82122 -> Q99597 -> Q99585 -> Q99573 -> Q99558 -> Q99544 -> Q79084 -> Q79093 -> Q79102 -> Q79111 -> Q79126 -> Q79135 -> Q79147 -> Q79168 -> Q79192 -> Q79220 -> Q79241 -> Q79262 -> Q79286 -> Q79331 -> Q79361 -> Q79388 -> Q79415 -> Q79435 -> Q79441 -> Q79468 -> Q79510	Maria  Soares -> Diogo  Rodrigues de Aguiar -> Rui  Dias de Aguiar -> Joao  Afonso de Aguiar -> Diogo Afonso Afonso  de Aguiar -> Pedro  Afonso de Aguiar -> Antonio Ambrosio de Aguiar  Coutinho -> Barbara, imperatriz of Rome -> Bárbara, Princess of Rome -> Aviena -> Proba -> Proba  Rogas of Lybia -> Heracles -> Georgia Eudoxia -> Munia Eudoxia -> Esteban  Balthes -> Pedro Balthes  de Toledo -> Galindo  de Toledo -> Paulo  de Toledo -> Teodomiro  de Toledo -> Ouvequio  de Toledo -> Marcella  de Toledo -> Beatrix  de Bardolf -> Jeanne  de Pont-Audemer -> Bernard  of Mans - Beulac -> Eve  of Mans - Beulac -> Galburge  de Castellane -> D.Urraca de Pamplona -> D. Ausindo Ximeno -> D.Soeiro Ausendes -> D.Arnaldo  Ximenes -> Berenguela  Ximenes, Baiao, Soares -> Soeiro  Arnaldes de Novoa (D.) -> Maria  Soares
4	Q118732 -> Q136091 -> Q135856 -> Q123845 -> Q118732	Olaf Geirstad-Alf -> Gandalf Alfgeirsson -> Alfarin -> Alfhild -> Olaf Geirstad-Alf
16	Q75522 -> Q75516 -> Q75603 -> Q75558 -> Q65002 -> Q64169 -> Q63517 -> Q62926 -> Q62515 -> Q75817 -> Q75721 -> Q75781 -> Q75694 -> Q75634 -> Q75573 -> Q75543 -> Q75522	Anicia Faltonia Proba -> Anicius Hermogenianus Olybrius -> Demetrias -> Clodia Celsina -> Sextus Claudius Petronius Probus -> Petronius -> Petronius  Junior -> Gnaeus Petronius Probatus Junior  Justus -> Petronia -> Publilia -> Rufia Procula -> Caeionius  Proculus -> Caeionius Julianus Camerius -> Caeionia Auchenia Bassa -> Anicius Auchenius Bassus -> Tyrrania Anicia Juliana -> Anicia Faltonia Proba
