label,qid,instance_of_qid
'Amran Governorate,Q275720,Q331130
A'ana,Q1154121,Q1070167
Aarhus County,Q271176,Q876730
Abai Region,Q111279364,Q836672
Abia State,Q320852,Q465842
Abidjan Autonomous District,Q19830972,Q20717263
Abra,Q13711,Q24746
Abruzzo,Q1284,Q16110
Absheron District,Q179538,Q13417250
Abyan Governorate,Q241774,Q331130
Abyei,Q336494,Q496539
Aceh,Q1823,Q5098
Acklins,Q122687952,Q1230132
Acquaviva,Q206363,Q14292916
Acre,Q40780,Q485258
Acre Territory,Q27495564,Q22080713
Ad Dakhiliyah Governorate,Q792550,Q641078
Ad Dhahirah Governorate,Q1468596,Q641078
Ad-Dawhah,Q594208,Q685320
Adamawa,Q351514,Q869042
Adamawa State,Q337514,Q465842
Adana,Q38545,Q2716259
Adana Metropolitan Municipality,Q28320680,Q2716259
Adana Province,Q40549,Q48336
Adda,Q3708641,Q92938359
Adda and Oglio Department,Q3708642,Q92938359
Addis Ababa,Q3624,Q1057504
Addu Atoll,Q353375,Q757549
Aden Governorate,Q275729,Q331130
Administrative-Territorial Units of the Left Bank of the Dniester,Q648767,Q4826865
Adrar,Q366626,Q846327
Adrar Province,Q188166,Q240601
Adygea,Q3734,Q41162
Adıyaman Province,Q43924,Q48336
Aerodrom Municipality,Q1992708,Q646793
Afar Region,Q193494,Q1057504
Aflou Province,Q136956694,Q240601
Afyonkarahisar Province,Q45220,Q48336
Agadez Region,Q389944,Q859869
Agaléga,Q196042,Q10864048
Agder,Q2729021,Q192299
Aghdam District,Q201647,Q13417250
Aghdara District,Q2025789,Q13417250
Aghdash District,Q275784,Q13417250
Aghjabadi District,Q330818,Q13417250
Aghstafa District,Q275744,Q13417250
Agogna,Q2827049,Q92938359
Agsu District,Q330800,Q13417250
Aguascalientes,Q79952,Q15149663
Agusan del Norte,Q13714,Q24746
Agusan del Sur,Q13721,Q24746
Ahafo Region,Q48804007,Q1052743
Ahal Region,Q399899,Q12014176
Ahuachapán Department,Q572993,Q475214
Aichi Prefecture,Q80434,Q50337
Aiga-i-le-Tai,Q1144488,Q1070167
Aileu municipality,Q405100,Q741821
Aimeliik,Q405589,Q1044181
Ainaro Municipality,Q405926,Q741821
Airai,Q407967,Q1044181
Aiwo District,Q240017,Q319796
Aizkraukle Municipality,Q97229842,Q3345345
Ajdabiya District,Q1640928,Q48242
Ajdovščina Municipality,Q331701,Q328584
Ajloun Governorate,Q506658,Q867567
Akershus,Q50615,Q192299
Akita Prefecture,Q81863,Q50337
Akkar Governorate,Q556146,Q844713
Aklan,Q13723,Q24746
Akmenė District Municipality,Q1023041,Q17301072
Akmola Region,Q485056,Q836672
Akrotiri and Dhekelia,Q37362,Q46395
Aksaray Province,Q83073,Q48336
Aktobe Region,Q485437,Q836672
Akwa Ibom State,Q424388,Q465842
Al Ahmadi Governorate,Q552354,Q842876
Al Anbar Governorate,Q187334,Q841753
Al Batinah North Governorate,Q4703564,Q641078
Al Batinah South Governorate,Q4703565,Q641078
Al Bayda' Governorate,Q221212,Q331130
Al Buraimi Governorate,Q852039,Q641078
Al Daayen,Q310786,Q685320
Al Hudaydah Governorate,Q275755,Q331130
Al Jahra Governorate,Q405701,Q842876
Al Jawf Governorate,Q328128,Q331130
Al Khor,Q1156471,Q685320
Al Mahrah Governorate,Q275752,Q331130
Al Mahwit Governorate,Q388280,Q331130
Al Muthanna Governorate,Q212761,Q841753
Al Qadarif,Q309478,Q746290
Al Rayyan Municipality,Q311272,Q685320
Al Shamal,Q310872,Q685320
Al Wahat District,Q26000,Q48242
Al Wakrah,Q22811096,Q685320
Al Wusta Governorate,Q958518,Q641078
Al-Baha Province,Q852774,Q15728204
Al-Hasakah Governorate,Q233914,Q517351
Al-Jowf Province,Q1471266,Q15728204
Al-Qassim,Q1105411,Q15728204
Al-Qurayyat (province),Q28716272,Q15728204
Al-Qādisiyyah Governorate,Q62987,Q841753
Al-Raqqah Governorate,Q235563,Q517351
Al-Shahaniya,Q12188815,Q685320
Alabama,Q173,Q35657
Alagoas,Q40885,Q485258
Alajuela Province,Q502188,Q1075520
Alaotra-Mangoro,Q1352996,Q971831
Alaska,Q797,Q35657
Alba County,Q45868,Q1776764
Albay,Q13726,Q24746
Alberta,Q1951,Q11828004
Alborz Province,Q392522,Q1344695
Alderney,Q24695673,Q3365965
Aleppo Governorate,Q214064,Q517351
Alexandria Governorate,Q29943,Q204910
Algiers Province,Q141026,Q240601
Ali Sabieh Region,Q821008,Q1202812
Alibori Department,Q29165,Q792929
Alif Alif Atoll,Q775323,Q757549
Alif Dhaal Atoll,Q2316922,Q757549
Almaty Region,Q186466,Q836672
Alpes,Q43311297,Q36784
Alpi Apuane Department,Q25403100,Q92938359
Alta Padusa Department,Q5395221,Q92938359
Alta Verapaz Department,Q504637,Q27448
Altai Krai,Q5942,Q43263
Altai Republic,Q5971,Q41162
Alto Paraguay Department,Q682642,Q815068
Alto Paraná Department,Q682654,Q815068
Alytus City Municipality,Q3685407,Q17166803
Alytus District Municipality,Q769940,Q17301072
Alūksne Municipality,Q3393445,Q3345345
Amadi State,Q23925447,Q496539
Amambay Department,Q686586,Q815068
Amanat al Asimah Sana`a,Q116997223,Q331130
Amapá,Q40130,Q485258
Amapá Territory,Q10380853,Q22080713
Amasya Province,Q80036,Q48336
Amatitlán Department,Q21296012,Q27448
Amazonas,Q170453,Q501094
Amazonas,Q40040,Q485258
Amazonas Department,Q201162,Q861184
Amazonas Department,Q44724,Q215655
Ambatosoa,Q126684680,Q971831
American Samoa,Q16641,Q462778
Amhara Region,Q203009,Q1057504
Amman Governorate,Q472788,Q867567
Amnat Charoen,Q243791,Q50198
Amoron'i Mania,Q474134,Q971831
Amstel Department,Q2785292,Q15631887
Amur Oblast,Q6886,Q43263
An Giang,Q36592,Q2824648
Anaa,Q483123,Q84598477
Anabar District,Q328735,Q319796
Analamanga,Q484625,Q971831
Analanjirofo,Q178449,Q971831
Anambra State,Q117714,Q465842
Andalusia,Q5783,Q10742
Andaman and Nicobar Islands,Q40888,Q467745
Andhra Pradesh,Q1159,Q12443800
Andhra Pradesh (1956–2014),Q67906082,Q12443800
Andhra State,Q4066154,Q12443800
Andijan Region,Q487384,Q842420
Andong Province,Q1350583,Q9319988
Andorra la Vella,Q2522163,Q24279
Andrijevica Municipality,Q2384773,Q838549
Androy,Q218981,Q971831
Anenii Noi District,Q769224,Q15068450
Anetan District,Q378813,Q319796
Ang Thong,Q243795,Q50198
Angaur,Q530813,Q1044181
Angra do Heroísmo,Q10267294,Q3032141
Anguilla,Q25228,Q46395
Anhui Province,Q9574337,Q9319988
Anibare District,Q328733,Q319796
Anjouan,Q231324,Q20732232
Ankara,Q3640,Q2716259
